0.0485693,-0.1119392,0.1492382,0.1375415,-0.2786210,0.2607092,0.1471582,0.1601756,-0.1531175,-0.0841462,-0.1052848,0.2283701,0.0365634,0.1650566,0.0013380,-0.1110424,-0.0309125,-0.2329274,0.1548471,0.0094844,0.2173469,-0.1258398,0.1797937,0.2332995,0.1591610,-0.2450456,-0.0247895,-0.2464608,-0.2119371,0.1097168,0.1669117,0.3486044,-0.0960880,-0.0545279,-0.0549618,-0.1040761,-0.1448216,0.0689809,-0.1124227,0.0436384,0.0148771,0.2257105,0.1716546,-0.0614484,0.1724304,0.1946658,0.0075055,-0.0762643,0.1248559,-0.2152756,-0.0542400
-0.3033847,0.1628267,0.0947141,0.1366479,0.1647196,-0.0279622,0.0454876,-0.2120616,-0.2144289,0.0975834,-0.0138376,0.0413240,0.1499505,0.0743215,0.0415057,0.0489376,-0.1193126,-0.2689254,-0.0407443,-0.1799724,-0.0531459,0.1996343,-0.1684841,-0.2608503,-0.1397666,-0.1278247,0.0943379,0.0307504,0.1608937,0.0917028,-0.0567545,0.1969568,-0.1915561,-0.2729944,-0.2514939,0.1435723,-0.0194858,-0.1949800,0.0041439,-0.2189738,0.1190181,-0.0288521,-0.0679676,-0.1154006,0.0792830,-0.0803980,-0.2408415,-0.2290814,0.2769887,0.2351807,0.1355342
-0.1850246,0.2492813,0.1443483,0.1471715,-0.0369285,-0.1460254,-0.2387678,0.2382707,0.0107042,-0.1977362,-0.1206047,0.0405055,-0.2059586,0.1989546,0.1614005,0.1478060,-0.0656167,0.0854150,0.0235663,0.0628436,-0.2219940,-0.0626545,-0.2973348,-0.0033532,-0.1009354,-0.2340854,-0.2368703,0.0580426,-0.1967167,0.2475532,0.0497514,-0.0599764,0.0552176,-0.2679633,0.2399672,0.0227504,0.1978848,-0.2122381,0.0117847,-0.0288041,0.2852210,0.0581792,0.0034152,-0.1165574,-0.1111181,0.0235347,-0.0044064,-0.2646528,0.2023382,0.2259194,-0.1819845
0.0709719,-0.2116499,0.1223909,-0.1366692,0.1148078,0.1389887,0.1575608,-0.2377861,0.2265602,-0.1338032,-0.2740673,0.0306436,-0.0751095,0.2036970,0.1707899,-0.1248529,0.2934320,-0.1264868,0.0235953,-0.1169730,0.2429708,-0.1789650,-0.2364403,-0.0444400,0.2944971,0.2502865,0.1514768,0.2182021,0.2278520,0.0101978,-0.1227600,0.1396423,0.0933122,-0.0889536,-0.2348562,0.1173652,-0.1613680,0.2384651,-0.1736842,-0.2101248,0.1804711,-0.2117666,-0.2086555,0.0409354,0.2232580,-0.1898142,-0.1330295,0.1555393,0.2827325,0.0054280,-0.2338878
-0.1572799,-0.0840748,-0.1463611,0.1173752,-0.1707601,0.0517129,0.1223794,0.0735267,-0.2129383,0.2486983,0.1461086,0.1539690,-0.1530514,-0.1479677,0.2641248,-0.0937149,-0.0530191,0.0156169,0.1505299,0.3479162,-0.1546018,0.2746903,-0.1833418,0.0404618,0.0866159,-0.1934318,-0.1838299,-0.0709283,0.2361825,0.0552119,0.1949410,0.0726657,-0.0390342,0.1098876,-0.2800667,-0.3077289,0.1012877,0.0800799,-0.2175650,0.0281757,-0.0018133,0.1650198,-0.0158773,-0.1253144,-0.0814443,-0.0911647,0.0154477,0.1731699,-0.0435877,-0.1645745,-0.2203843
0.1079717,0.1641738,-0.2453286,-0.2416322,0.0452127,-0.2207471,0.1915352,-0.1086378,-0.1729226,0.2233835,-0.2149360,-0.1402022,-0.2200773,-0.2445947,-0.2861303,-0.2607851,-0.2242853,-0.2651109,0.0469965,0.0858331,-0.0451843,-0.1224877,-0.0257421,0.2175274,0.1904886,-0.2815000,-0.1891309,-0.1533263,-0.1547908,0.0553932,-0.0378448,-0.2478502,-0.0688131,0.0210524,-0.2651047,0.2436550,-0.2397852,0.2588969,-0.2243141,0.1794403,0.2605646,0.2957970,0.2049517,0.1929401,0.0841464,0.1726175,-0.1809524,0.0231291,0.0066357,0.2049300,-0.0448808
-0.0240995,0.1133830,-0.1169145,-0.2164832,-0.0056907,-0.0472550,-0.1621563,-0.0772090,-0.1078058,-0.0738526,-0.0688931,0.1105495,-0.0961629,0.2776778,0.2405546,-0.0279583,-0.0732107,0.0200828,0.2290355,0.1126081,0.1529285,0.0300049,0.1217836,-0.1281478,0.1370184,-0.1464404,0.1339774,0.2119231,-0.2161433,0.0696528,-0.2459276,0.0981855,-0.2555143,0.2441130,-0.1908847,0.2571445,0.1480907,0.0162302,0.1577600,0.2007219,0.2586390,-0.1578200,0.0317643,-0.2679161,0.0873749,-0.2063663,0.0120820,0.0126515,-0.0151287,0.0135055,0.1187692
0.1520262,-0.0201934,0.0441257,0.2611925,-0.2416511,-0.2426240,-0.2430146,0.0903407,-0.0340350,0.1330042,0.0819282,-0.1133172,0.2099989,0.1388570,-0.1432809,-0.0874532,-0.1416532,-0.2098203,-0.2169303,0.2253204,-0.0313378,-0.0891277,0.0905995,0.0272819,0.2663360,0.1682786,-0.0039471,-0.0573894,0.2943733,0.1285848,0.2962510,-0.2009455,0.2097591,0.0952665,-0.2301779,0.1062558,0.1407191,-0.2763747,-0.0012513,0.1906400,-0.0940858,-0.0179358,-0.0265053,-0.1003615,0.2648727,0.1738220,-0.2168472,0.2905760,0.2321748,-0.1342987,0.2242815
-0.2966646,0.2522397,0.0512051,0.0675480,-0.2823049,0.2184138,-0.2832400,-0.1574303,-0.1886634,0.0961424,-0.2121220,0.2294157,0.0538531,-0.2958404,-0.2996716,-0.2816080,0.0018263,0.1686002,-0.1685399,0.1620941,-0.2420339,0.1381094,0.1952141,0.1516442,0.1260708,0.2137392,-0.2604437,-0.1576990,-0.2179589,0.0053831,0.2009792,0.1151837,0.2155935,-0.1908050,0.1277869,-0.1195615,-0.0923423,0.1459069,0.3323671,0.0503604,-0.2218794,0.0948442,-0.2501269,0.2750972,0.1440391,-0.1661648,-0.2023391,-0.1715349,0.3024394,-0.0191265,0.1900863
0.1883173,0.1549945,-0.0784805,0.2409191,-0.0745568,0.0016329,0.0820892,0.0784583,0.1365543,-0.1109128,-0.0525981,-0.0792702,0.0010512,-0.1869756,-0.3654597,-0.3060840,-0.0872801,-0.0752459,0.0639060,0.0831459,-0.1337890,0.0048892,-0.0608321,0.0410302,-0.1623267,-0.1860293,-0.0469235,-0.0456425,-0.1320364,0.0154885,0.0592734,0.0280309,0.0439836,0.0373145,-0.0127181,0.1429289,-0.0024632,-0.1084225,0.0315958,0.0492875,0.0154149,0.0914057,0.1363436,0.2281133,0.1083133,0.0280019,0.0493780,-0.2055780,0.1911044,0.0439670,-0.1902142
-0.2783563,0.1899030,-0.2787207,-0.1297246,-0.1044540,-0.1982443,-0.1160919,0.1462038,-0.2771783,0.1792634,0.2055588,-0.0811840,-0.2114092,0.0578080,-0.2248238,-0.0762350,0.2559396,0.2901943,0.1550505,-0.1250270,0.1275273,0.1116132,-0.0814888,0.0840845,-0.2865939,-0.1832061,0.0135346,-0.1918378,-0.1985781,0.1978530,0.2985895,0.0486207,0.2017505,0.2965443,-0.2210054,-0.0112745,-0.0453755,-0.2332906,0.1657954,-0.0491129,-0.0040962,-0.1994324,-0.1784245,0.2548491,-0.2754197,-0.1585052,-0.1112020,0.0039800,0.0550030,-0.0075973,-0.2190724
-0.0740182,0.2474756,0.1116043,0.0771022,0.1190145,0.1630781,-0.2688287,-0.0939380,-0.0460520,-0.0618564,0.2026859,-0.0115400,0.1718760,0.2141668,-0.0243620,0.2130563,0.0907755,0.2000498,-0.0731783,0.0343189,-0.0440778,-0.2047465,0.0031063,0.2426645,0.0621092,-0.1255938,-0.0609401,-0.1824188,-0.2804008,0.2565540,-0.0353723,-0.1548666,0.0534280,-0.3054607,-0.0807850,0.0781215,0.0242602,0.2133966,0.0538563,0.0580076,0.1199601,0.2281278,0.1061043,0.2557499,0.2081499,0.2118254,-0.2882874,0.0916272,-0.0267981,0.0467566,0.0263327
0.1697427,0.2246233,-0.1722548,0.1622063,0.1226501,-0.1145187,-0.2138779,-0.2569767,0.2404982,-0.0554950,0.2622869,-0.0350719,0.2371296,-0.0732579,0.1933719,-0.2096676,-0.0334292,0.1937561,0.2196692,0.1179840,-0.2096435,-0.1067027,-0.3725414,-0.2272280,0.1099293,0.0825842,0.1518386,0.2296131,0.1269728,0.1756086,-0.2277175,-0.0833133,0.0868979,0.2398303,-0.3426730,0.0874746,0.1731442,-0.2013017,-0.0231658,0.1716953,0.1463988,-0.1338065,0.2439734,-0.0403232,0.1904011,-0.1044580,0.1175925,-0.0222579,-0.1278183,0.2073347,-0.0549973
-0.1830306,-0.0565322,0.1593046,0.1633137,0.3012767,-0.1134714,-0.0653510,-0.2271480,-0.0043956,0.3236475,0.1075420,0.0517825,-0.0606924,0.2392524,-0.0330423,-0.2518221,-0.0534253,-0.2664659,-0.1708941,-0.2507099,-0.0663775,0.1058185,-0.0313868,-0.0560970,0.2633784,0.1832620,0.0364365,-0.1389495,0.2368782,-0.1546149,-0.0958638,0.2145432,0.0196313,0.1335843,0.0989565,0.0693848,-0.1450370,-0.1984775,-0.1136405,-0.1617827,0.1998369,-0.1369908,0.0211432,0.1575055,0.1908133,-0.0408525,-0.0481492,0.2616702,0.1001053,0.2076405,0.1613410
0.1001479,-0.2348739,-0.0021665,-0.2283116,0.0686361,0.2531873,-0.0000569,-0.0485662,-0.2415749,0.2356577,-0.2456388,-0.2769588,-0.1740216,-0.2622963,0.0022013,0.0391616,-0.1389609,-0.2525134,-0.2474732,-0.1053528,-0.2291515,0.0874462,-0.2113253,-0.1146807,-0.0537696,-0.0691366,-0.2893615,-0.2170452,0.2003388,-0.2916358,0.0013938,0.0216678,-0.0816312,-0.0243662,0.1332908,0.2547928,-0.1084525,-0.0655716,-0.1326075,-0.0418032,0.1400430,-0.1440368,-0.0731796,0.2773674,-0.2784191,-0.0170929,0.1626366,-0.1727041,-0.2461701,-0.2208107,0.2746099
-0.3215912,-0.2039718,-0.2948820,-0.1905734,0.0599220,-0.1634009,0.0394411,0.0453827,0.2295234,-0.3265952,0.1853349,0.0565221,-0.2348258,0.1228956,0.2038393,-0.1206125,0.2014960,-0.0199476,0.0124445,0.2227189,-0.0725147,0.1576322,-0.1352226,0.1720911,0.0422292,-0.1901396,-0.0435290,-0.0965045,-0.2422458,-0.2458369,-0.0744749,-0.2357548,-0.1665077,0.1598617,0.1312961,0.1877264,-0.0700204,0.2542490,0.0901310,-0.2075071,-0.1892613,0.1263786,-0.1779394,0.0300296,0.3012559,-0.2927128,-0.2808522,0.2883076,0.0418961,-0.2379219,0.2430873
